display(log)
check(C:/Documents and Settings/Dora.REKENBEEST/Desktop/WinBUGS/Book/SIMPLE/SIMPLE_2.txt)
model is syntactically correct
data(C:/Documents and Settings/Dora.REKENBEEST/Desktop/WinBUGS/Book/SIMPLE/tmp/data.txt)
data loaded
compile(1)
model compiled
inits(1,C:/Documents and Settings/Dora.REKENBEEST/Desktop/WinBUGS/Book/SIMPLE/tmp/init_1.txt)
this chain contains uninitialized variables
refresh(2000)
gen.inits()
initial values generated, model initialized
update(1000)
set(c)
set(s)
set(t)
set(pcpred)
set(alpha)
thin.updater(1)
update(2000)
coda(*,C:/Documents and Settings/Dora.REKENBEEST/Desktop/WinBUGS/Book/SIMPLE/tmp/coda)
stats(*)

Node statistics
	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	pcpred[14,2]	0.8362	0.01047	3.048E-4	0.8148	0.8367	0.8562	1001	2000
	pcpred[14,3]	0.3493	0.01244	3.339E-4	0.3243	0.35	0.373	1001	2000
	pcpred[14,4]	0.4879	0.01307	4.227E-4	0.4625	0.4882	0.5138	1001	2000
	pcpred[14,5]	0.1781	0.01093	2.2E-4	0.1567	0.1783	0.1992	1001	2000
	pcpred[14,6]	0.1938	0.01126	3.166E-4	0.1711	0.1937	0.2164	1001	2000
	pcpred[14,8]	0.2313	0.01216	2.816E-4	0.2075	0.2308	0.2558	1001	2000
	pcpred[14,9]	0.2524	0.01299	3.75E-4	0.2283	0.2525	0.2783	1001	2000
	pcpred[15,2]	0.957	0.006105	3.688E-4	0.9445	0.957	0.9688	1001	2000
	pcpred[15,3]	0.3989	0.0128	3.878E-4	0.3737	0.3993	0.4243	1001	2000
	pcpred[15,4]	0.558	0.01229	3.273E-4	0.5342	0.5579	0.5829	1001	2000
	pcpred[15,5]	0.1847	0.01092	3.053E-4	0.1633	0.185	0.2058	1001	2000
	pcpred[15,6]	0.195	0.01126	2.675E-4	0.1742	0.1953	0.2172	1001	2000
	pcpred[15,8]	0.2513	0.01259	2.873E-4	0.2267	0.2508	0.2758	1001	2000
	pcpred[15,9]	0.2526	0.01327	4.142E-4	0.2267	0.2525	0.2792	1001	2000
	pcpred[16,3]	0.4567	0.01311	4.46E-4	0.4309	0.4566	0.4829	1001	2000
	pcpred[16,4]	0.6332	0.01284	3.6E-4	0.6092	0.6329	0.6592	1001	2000
	pcpred[16,5]	0.1923	0.01104	2.494E-4	0.1708	0.1925	0.2142	1001	2000
	pcpred[16,6]	0.1966	0.01135	2.914E-4	0.175	0.1961	0.2188	1001	2000
	pcpred[16,8]	0.2763	0.01284	3.456E-4	0.2517	0.2767	0.3017	1001	2000
	pcpred[16,9]	0.253	0.01306	3.137E-4	0.2275	0.2525	0.2792	1001	2000
	pcpred[17,3]	0.5238	0.01309	4.063E-4	0.4987	0.5237	0.55	1001	2000
	pcpred[17,4]	0.7102	0.01192	3.038E-4	0.6862	0.7105	0.7329	1001	2000
	pcpred[17,5]	0.201	0.01161	2.164E-4	0.1783	0.2008	0.2242	1001	2000
	pcpred[17,6]	0.1982	0.01122	2.721E-4	0.1758	0.1984	0.2203	1001	2000
	pcpred[17,8]	0.3066	0.01374	4.425E-4	0.28	0.3067	0.3342	1001	2000
	pcpred[17,9]	0.254	0.0133	4.34E-4	0.2275	0.2542	0.28	1001	2000
	pcpred[18,3]	0.6036	0.01248	2.737E-4	0.5789	0.6033	0.6289	1001	2000
	pcpred[18,4]	0.7864	0.0108	2.637E-4	0.7651	0.7862	0.8072	1001	2000
	pcpred[18,5]	0.211	0.01197	2.447E-4	0.1875	0.2108	0.235	1001	2000
	pcpred[18,6]	0.2004	0.0113	2.712E-4	0.1797	0.2	0.2234	1001	2000
	pcpred[18,8]	0.3423	0.01393	3.867E-4	0.315	0.3425	0.37	1001	2000
	pcpred[18,9]	0.2545	0.01307	3.744E-4	0.2283	0.2542	0.2792	1001	2000
	pcpred[19,3]	0.712	0.01194	2.516E-4	0.6888	0.7118	0.7342	1001	2000
	pcpred[19,4]	0.8643	0.009022	3.125E-4	0.8461	0.8645	0.8822	1001	2000
	pcpred[19,5]	0.223	0.01211	2.771E-4	0.1992	0.2225	0.2483	1001	2000
	pcpred[19,6]	0.2023	0.01166	2.937E-4	0.1797	0.2023	0.2258	1001	2000
	pcpred[19,8]	0.3854	0.01441	3.778E-4	0.3567	0.3858	0.4133	1001	2000
	pcpred[19,9]	0.2553	0.01321	3.715E-4	0.2292	0.2558	0.2808	1001	2000
	pcpred[20,3]	0.9242	0.007425	3.918E-4	0.9086	0.9243	0.9382	1001	2000
	pcpred[20,4]	0.9773	0.004639	3.685E-4	0.9678	0.9776	0.9862	1001	2000
	pcpred[20,5]	0.2369	0.01196	3.447E-4	0.2142	0.2375	0.2617	1001	2000
	pcpred[20,6]	0.205	0.01131	2.895E-4	0.1828	0.2047	0.2273	1001	2000
	pcpred[20,8]	0.4368	0.01501	4.708E-4	0.4067	0.4375	0.4667	1001	2000
	pcpred[20,9]	0.2565	0.01284	3.251E-4	0.2317	0.2567	0.2825	1001	2000
	pcpred[21,5]	0.2545	0.0128	3.284E-4	0.23	0.255	0.28	1001	2000
	pcpred[21,6]	0.2072	0.01168	2.791E-4	0.1828	0.207	0.2313	1001	2000
	pcpred[21,8]	0.4955	0.01468	4.685E-4	0.4658	0.4958	0.5242	1001	2000
	pcpred[21,9]	0.257	0.01286	3.678E-4	0.2317	0.2575	0.2825	1001	2000
	pcpred[22,5]	0.2745	0.01302	3.17E-4	0.2492	0.2742	0.2992	1001	2000
	pcpred[22,6]	0.21	0.01147	2.469E-4	0.1867	0.2102	0.232	1001	2000
	pcpred[22,8]	0.5637	0.01452	4.0E-4	0.535	0.5642	0.5933	1001	2000
	pcpred[22,9]	0.2582	0.01333	4.224E-4	0.2333	0.2583	0.2842	1001	2000
	pcpred[23,5]	0.2982	0.01365	3.191E-4	0.2717	0.2983	0.325	1001	2000
	pcpred[23,6]	0.2134	0.01146	2.568E-4	0.1914	0.2133	0.2359	1001	2000
	pcpred[23,8]	0.6431	0.01419	4.424E-4	0.6158	0.6433	0.6708	1001	2000
	pcpred[23,9]	0.2595	0.01315	3.686E-4	0.2333	0.2592	0.2858	1001	2000
	pcpred[24,5]	0.3266	0.01368	4.201E-4	0.3	0.3267	0.3533	1001	2000
	pcpred[24,6]	0.2169	0.01157	2.697E-4	0.1937	0.2172	0.2406	1001	2000
	pcpred[24,8]	0.749	0.01252	2.986E-4	0.725	0.7492	0.7733	1001	2000
	pcpred[24,9]	0.2604	0.01331	4.242E-4	0.2342	0.2608	0.2858	1001	2000
	pcpred[25,5]	0.3616	0.01375	3.591E-4	0.3342	0.3617	0.3892	1001	2000
	pcpred[25,6]	0.2207	0.01151	2.934E-4	0.1984	0.2203	0.2438	1001	2000
	pcpred[25,8]	0.9505	0.006665	3.588E-4	0.9367	0.9508	0.9625	1001	2000
	pcpred[25,9]	0.2616	0.01343	3.499E-4	0.2358	0.2617	0.2883	1001	2000
	pcpred[26,5]	0.4032	0.01456	4.722E-4	0.375	0.4033	0.4317	1001	2000
	pcpred[26,6]	0.2252	0.01166	2.589E-4	0.2023	0.225	0.2484	1001	2000
	pcpred[26,9]	0.2628	0.01338	3.454E-4	0.2358	0.2625	0.2883	1001	2000
	pcpred[27,5]	0.454	0.01429	3.671E-4	0.4258	0.4542	0.4825	1001	2000
	pcpred[27,6]	0.2308	0.01201	2.789E-4	0.207	0.2305	0.2539	1001	2000
	pcpred[27,9]	0.2645	0.01308	3.891E-4	0.2392	0.2642	0.29	1001	2000
	pcpred[28,5]	0.5224	0.01454	4.392E-4	0.4933	0.5225	0.5517	1001	2000
	pcpred[28,6]	0.2366	0.01201	2.478E-4	0.2133	0.2367	0.2602	1001	2000
	pcpred[28,9]	0.2661	0.01303	3.64E-4	0.2417	0.2667	0.2925	1001	2000
	pcpred[29,5]	0.6363	0.01469	4.309E-4	0.6067	0.6367	0.665	1001	2000
	pcpred[29,6]	0.2428	0.01198	2.964E-4	0.2195	0.243	0.2664	1001	2000
	pcpred[29,9]	0.2675	0.01294	3.978E-4	0.2425	0.2683	0.2933	1001	2000
	pcpred[30,5]	0.9088	0.008997	4.614E-4	0.8908	0.9092	0.925	1001	2000
	pcpred[30,6]	0.2503	0.01234	2.887E-4	0.2266	0.2508	0.2742	1001	2000
	pcpred[30,9]	0.2697	0.01363	3.716E-4	0.2425	0.2708	0.295	1001	2000
	pcpred[31,6]	0.2594	0.01235	2.372E-4	0.2352	0.2594	0.2844	1001	2000
	pcpred[31,9]	0.2713	0.01359	4.225E-4	0.2442	0.2708	0.2983	1001	2000
	pcpred[32,6]	0.2691	0.01256	3.027E-4	0.2453	0.2688	0.2945	1001	2000
	pcpred[32,9]	0.2734	0.01333	4.253E-4	0.2467	0.2733	0.2992	1001	2000
	pcpred[33,6]	0.2812	0.01252	2.964E-4	0.257	0.2813	0.3063	1001	2000
	pcpred[33,9]	0.2765	0.01332	3.086E-4	0.2508	0.2767	0.3025	1001	2000
	pcpred[34,6]	0.2948	0.01294	3.185E-4	0.2703	0.2945	0.3203	1001	2000
	pcpred[34,9]	0.2782	0.01311	3.412E-4	0.2525	0.2775	0.305	1001	2000
	pcpred[35,6]	0.3113	0.01324	3.638E-4	0.2852	0.3109	0.3375	1001	2000
	pcpred[35,9]	0.2809	0.01337	3.815E-4	0.2542	0.2808	0.3075	1001	2000
	pcpred[36,6]	0.3324	0.01339	4.022E-4	0.3063	0.332	0.3586	1001	2000
	pcpred[36,9]	0.2838	0.01331	3.797E-4	0.2575	0.2833	0.3108	1001	2000
	pcpred[37,6]	0.3604	0.01367	4.152E-4	0.3344	0.3602	0.3875	1001	2000
	pcpred[37,9]	0.2877	0.01355	4.801E-4	0.2617	0.2875	0.3142	1001	2000
	pcpred[38,6]	0.4041	0.01424	4.792E-4	0.3766	0.4039	0.4313	1001	2000
	pcpred[38,9]	0.2915	0.01371	3.355E-4	0.2642	0.2917	0.3175	1001	2000
	pcpred[39,6]	0.4985	0.01475	5.696E-4	0.4703	0.4977	0.5273	1001	2000
	pcpred[39,9]	0.2956	0.0136	3.792E-4	0.2692	0.2958	0.3225	1001	2000
	pcpred[40,6]	0.8055	0.0124	6.829E-4	0.7797	0.8062	0.8289	1001	2000
	pcpred[40,9]	0.3002	0.01372	4.349E-4	0.2733	0.3008	0.3275	1001	2000
	pcpred[41,9]	0.3058	0.01398	4.369E-4	0.2792	0.3058	0.3333	1001	2000
	pcpred[42,9]	0.3115	0.01384	3.94E-4	0.2833	0.3117	0.3383	1001	2000
	pcpred[43,9]	0.3178	0.01384	4.325E-4	0.2908	0.3183	0.3442	1001	2000
	pcpred[44,9]	0.3264	0.01404	4.342E-4	0.3	0.3258	0.3542	1001	2000
	pcpred[45,9]	0.3362	0.0145	4.554E-4	0.3075	0.3358	0.365	1001	2000
	pcpred[46,9]	0.349	0.01432	4.725E-4	0.3217	0.3492	0.3775	1001	2000
	pcpred[47,9]	0.367	0.01494	5.66E-4	0.3375	0.3667	0.3967	1001	2000
	pcpred[48,9]	0.3979	0.01479	5.526E-4	0.3692	0.3975	0.4267	1001	2000
	pcpred[49,9]	0.4705	0.01557	6.751E-4	0.4392	0.4708	0.5008	1001	2000
	pcpred[50,9]	0.7284	0.0155	9.457E-4	0.6992	0.7283	0.7583	1001	2000
	s	10.09	0.08806	0.01161	9.903	10.09	10.24	1001	2000
	t[1]	0.6232	0.005163	7.343E-4	0.6139	0.6231	0.6342	1001	2000
	t[2]	0.6145	0.005096	7.229E-4	0.6055	0.6144	0.6252	1001	2000
	t[3]	0.6057	0.005054	7.134E-4	0.5971	0.6057	0.6164	1001	2000
	t[4]	0.6057	0.005054	7.134E-4	0.5971	0.6057	0.6164	1001	2000
	t[5]	0.5882	0.005045	7.004E-4	0.5798	0.5883	0.5993	1001	2000
	t[6]	0.5707	0.005136	6.956E-4	0.5621	0.5707	0.582	1001	2000
history(*,C:/Documents and Settings/Dora.REKENBEEST/Desktop/WinBUGS/Book/SIMPLE/tmp/history.txt)

History

save(C:/Documents and Settings/Dora.REKENBEEST/Desktop/WinBUGS/Book/SIMPLE/tmp/log.txt)
