display(log)
check(C:/Documents and Settings/Dora.REKENBEEST/Desktop/WinBUGS/Book/NumberConcepts/NumberConcept_1.txt)
model is syntactically correct
data(C:/Documents and Settings/Dora.REKENBEEST/Desktop/WinBUGS/Book/NumberConcepts/tmp/data.txt)
data loaded
compile(1)
model compiled
inits(1,C:/Documents and Settings/Dora.REKENBEEST/Desktop/WinBUGS/Book/NumberConcepts/tmp/init_1.txt)
this chain contains uninitialized variables
refresh(1)
gen.inits()
initial values generated, model initialized
update(1000)
set(pp)
set(ppz)
set(ppb)
set(v)
set(z)
thin.updater(1)
update(2000)
coda(*,C:/Documents and Settings/Dora.REKENBEEST/Desktop/WinBUGS/Book/NumberConcepts/tmp/coda)
stats(*)

Node statistics
	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	pp[15,8]	8.057	4.468	0.1023	3.0	6.0	15.0	1001	2000
	pp[15,9]	8.018	4.371	0.09638	3.0	6.0	15.0	1001	2000
	pp[15,10]	8.075	4.401	0.09739	3.0	6.0	15.0	1001	2000
	pp[15,11]	7.926	4.378	0.09077	3.0	6.0	15.0	1001	2000
	pp[15,12]	8.094	4.446	0.09317	3.0	6.0	15.0	1001	2000
	pp[15,13]	8.023	4.416	0.09654	3.0	6.0	15.0	1001	2000
	pp[15,14]	8.107	4.428	0.09295	3.0	6.0	15.0	1001	2000
	pp[15,15]	7.878	4.348	0.1019	3.0	6.0	15.0	1001	2000
	pp[16,1]	2.008	3.044	0.06742	1.0	1.0	15.0	1001	2000
	pp[16,2]	2.733	2.451	0.06079	2.0	2.0	15.0	1001	2000
	pp[16,3]	3.732	2.464	0.05847	3.0	3.0	15.0	1001	2000
	pp[16,4]	7.829	4.364	0.07982	3.0	6.0	15.0	1001	2000
	pp[16,5]	8.002	4.335	0.09434	3.0	6.0	15.0	1001	2000
	pp[16,6]	7.987	4.373	0.1112	3.0	6.0	15.0	1001	2000
	pp[16,7]	7.957	4.342	0.1086	3.0	6.0	15.0	1001	2000
	pp[16,8]	7.968	4.33	0.08036	3.0	6.0	15.0	1001	2000
	pp[16,9]	8.082	4.4	0.09656	4.0	6.0	15.0	1001	2000
	pp[16,10]	8.126	4.422	0.1027	3.0	6.0	15.0	1001	2000
	pp[16,11]	7.942	4.359	0.1177	3.0	6.0	15.0	1001	2000
	pp[16,12]	7.859	4.276	0.09157	3.0	6.0	15.0	1001	2000
	pp[16,13]	8.03	4.367	0.1247	3.0	6.0	15.0	1001	2000
	pp[16,14]	8.101	4.383	0.09087	4.0	6.0	15.0	1001	2000
	pp[16,15]	8.022	4.378	0.08596	3.0	6.0	15.0	1001	2000
	pp[17,1]	1.978	2.863	0.05895	1.0	1.0	15.0	1001	2000
	pp[17,2]	2.739	2.534	0.05088	2.0	2.0	15.0	1001	2000
	pp[17,3]	3.723	2.397	0.05548	3.0	3.0	15.0	1001	2000
	pp[17,4]	8.182	4.426	0.1023	3.0	7.0	15.0	1001	2000
	pp[17,5]	8.045	4.391	0.09417	4.0	6.0	15.0	1001	2000
	pp[17,6]	7.95	4.295	0.105	4.0	6.0	15.0	1001	2000
	pp[17,7]	8.14	4.456	0.1083	3.0	6.0	15.0	1001	2000
	pp[17,8]	8.088	4.398	0.08607	3.0	6.0	15.0	1001	2000
	pp[17,9]	8.036	4.344	0.09084	4.0	6.0	15.0	1001	2000
	pp[17,10]	8.262	4.405	0.09879	4.0	6.0	15.0	1001	2000
	pp[17,11]	8.139	4.381	0.08505	3.0	6.0	15.0	1001	2000
	pp[17,12]	8.078	4.416	0.09947	3.0	6.0	15.0	1001	2000
	pp[17,13]	8.18	4.402	0.09598	4.0	6.0	15.0	1001	2000
	pp[17,14]	8.104	4.451	0.09113	3.0	6.0	15.0	1001	2000
	pp[17,15]	7.995	4.374	0.08067	4.0	6.0	15.0	1001	2000
	pp[18,1]	1.911	2.885	0.0645	1.0	1.0	15.0	1001	2000
	pp[18,2]	2.722	2.506	0.0582	2.0	2.0	15.0	1001	2000
	pp[18,3]	3.716	2.413	0.05127	3.0	3.0	15.0	1001	2000
	pp[18,4]	7.99	4.391	0.1147	3.0	6.0	15.0	1001	2000
	pp[18,5]	8.002	4.411	0.09725	3.0	6.0	15.0	1001	2000
	pp[18,6]	7.949	4.298	0.1049	3.0	6.0	15.0	1001	2000
	pp[18,7]	7.939	4.318	0.1022	3.0	6.0	15.0	1001	2000
	pp[18,8]	8.162	4.405	0.114	3.0	6.0	15.0	1001	2000
	pp[18,9]	8.044	4.38	0.08758	3.0	6.0	15.0	1001	2000
	pp[18,10]	7.973	4.388	0.08814	3.0	6.0	15.0	1001	2000
